-0.0829476193,-0.0387397110,-0.0467905551,-0.0420022532,-0.0274502262,0.0324892178,0.0329338126,-0.0227905195,0.0093673449,-0.0162264872
0.0094533423,0.0047214469,0.0527068228,0.0223682579,-0.0467536226,-0.0599779151,-0.0949800313,0.0190387443,0.0212897640,0.0366679765
-0.1106168106,0.0319973454,-0.1043436229,0.0228165928,0.0651717633,0.0200918447,-0.0705807656,0.0122497287,0.0027543972,0.0374975652
0.0520956852,-0.0407638960,0.0223698430,-0.0358789712,0.0320712812,0.0469061546,0.0128580639,0.0568585210,-0.0526648648,0.0315142386
0.0026987451,0.0447101630,-0.0747777820,0.0191486683,0.0003973912,-0.0273481812,-0.1204904094,0.0121133728,0.0125425030,0.0519937277
0.0891000852,-0.1479606181,-0.0998683050,-0.0144177219,0.0337813050,0.0159722883,0.0906601846,-0.0260214973,-0.0046156039,-0.0125473579
-0.0244386811,0.0018021616,0.0608162694,0.0124575580,-0.0154609801,-0.0311327260,-0.0260406267,0.0025785237,0.0485477895,-0.0604008920
0.0504405685,0.0073486641,-0.0460378304,-0.0318672247,-0.0668112114,-0.0254956596,-0.0445051529,0.0213024300,0.0019401902,0.0464414284
-0.0810826719,0.0179095250,-0.0744256750,-0.0664882213,0.0341521278,-0.1119499803,-0.0500115156,-0.0678891242,-0.0386717580,0.0283405483
0.0662116632,-0.0447782613,-0.0334441960,-0.0265673231,0.0168627705,-0.0344074033,0.0127855930,-0.0106115025,0.0032713539,0.0516097210
-0.0601788647,0.0543982573,-0.0229826812,-0.0255663730,0.0427413434,-0.0881436095,0.0176399965,0.0399676599,-0.0341008157,0.0400273539
0.0401487835,-0.0374652147,0.0157907810,-0.0442510918,-0.0352407061,-0.0495197289,0.0067265606,-0.0712400228,0.0207706485,-0.0546870157
-0.0043603871,-0.0162853543,0.0160589665,-0.0299409181,0.0309881158,0.0178977661,-0.0504651889,0.0458535142,-0.0189325493,0.0432965644
-0.0029526295,-0.0270805657,-0.0980363116,0.0446676910,-0.0162235871,0.0384423099,0.0266155880,0.0358412601,0.0532000624,-0.0545391366
-0.0115419049,0.0660427809,-0.0108161159,-0.0533445068,-0.0152110355,-0.0637269989,-0.0043925690,-0.0416310392,0.0371422321,-0.0206227601
-0.0580969043,0.0449790955,0.0167744514,0.0189279839,0.0039400002,0.0326738805,0.0550734848,-0.0001106877,0.0529406853,-0.0595639944
-0.0579325706,-0.0654673725,-0.0354869142,0.0141503559,-0.0701493919,-0.0051960107,-0.0292177983,-0.0141222794,0.0119548319,0.0213907678
-0.0263741501,0.0042607766,0.0592126586,0.0500738770,-0.0106703052,0.0097554242,-0.0509895198,0.0484765023,0.0478051379,-0.0217064302
-0.0134213828,0.0078806840,-0.0517845452,0.0596284978,-0.1093911156,0.0237749703,0.0080055362,-0.0183883645,0.0480912812,-0.0361934677
-0.0657818094,0.0780555904,0.0061925114,-0.0303769168,0.0548279919,-0.0819000676,-0.0705299601,0.0576914027,0.0146178706,0.0590814389
0.0644024163,0.0482893959,-0.0308904443,-0.0186278969,-0.0051411828,-0.0054884981,0.0599599294,-0.0718094260,0.0291783307,-0.0416559912
0.0345161594,-0.0798673779,-0.0123206414,0.0094074002,-0.0359760560,0.0352449939,0.0045439056,-0.0490216017,0.0098839784,-0.0061679585
0.0475056320,-0.0626246184,-0.0238115359,-0.0359432735,0.0647722185,-0.0215652362,-0.0082988553,-0.0210559499,0.0462953039,0.0259148143
0.0008220628,-0.1478875726,-0.0714705586,0.0239719395,-0.0457557924,-0.0094305500,-0.1160689443,-0.0314750448,-0.0081642168,-0.0027239688
-0.0587669648,0.0253223907,-0.0392393023,-0.0355453901,0.0402406454,0.0174050182,-0.0480176955,0.0562261343,-0.0235732812,0.0409778766
-0.0113423523,-0.0556196421,-0.0410074964,0.0378178805,-0.0396038592,-0.0259670466,-0.0491348803,-0.0828811675,-0.0315985382,-0.0059395968
-0.0192314535,-0.0205264315,-0.0202281624,0.0529841818,0.0199694000,0.0179145299,-0.0256220531,-0.0363139287,0.0663714260,0.0410616659
-0.0046353829,-0.0393517874,0.0555375814,0.0211470779,0.0232329946,0.0371268541,-0.0013612170,-0.0283154454,-0.0763216838,-0.0136462376
-0.0509320647,-0.0125478245,0.0150091155,-0.0094376486,-0.0786214620,0.0021074370,-0.0738611892,0.0351201743,0.0005320616,0.0049739210
0.0340368226,-0.1625236720,-0.0174057838,-0.1098338366,0.0233578701,-0.0166274011,0.0442936569,-0.0707562193,-0.0308077689,0.0163621064
-0.0298469700,-0.0035285051,0.0686697066,-0.0395779535,-0.0411963165,-0.0488725118,-0.0972714871,0.0134083033,-0.0009274258,-0.0899670944
-0.0260511860,-0.0364274159,0.0401719213,0.0245530866,-0.0559132844,0.0163272563,0.0501844063,-0.0200152565,0.0389827788,-0.0750523359
